"ID","Title","Attachments","Created By","Created On","Estimate","Expected Result","Forecast","Priority","References","Section","Section Depth","Section Description","Status","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On","is_converted"
"C53","Registration Content","","Ciler Uzal","4/28/2026 10:24 AM","","<ul><li data-section-id=""1dobtjx"" data-start=""275"" data-end=""326"" data-pasted=""true"">The Username input field should be visible.</li><li data-section-id=""6qvvl3"" data-start=""327"" data-end=""375"">The Email input field should be visible.</li><li data-section-id=""hu54yc"" data-start=""376"" data-end=""427"">The Password input field should be visible.</li><li data-section-id=""mon9e5"" data-start=""428"" data-end=""489"">The Register button should be visible and accessible.</li></ul>","","Low","","Register","0","","Design","<p>Click on the Registration botton</p>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:13 AM","1"
"C75","Sign with Google Validation","","Ciler Uzal","4/30/2026 7:02 AM","","<ul data-start=""337"" data-end=""491"" data-pasted=""true""><li data-section-id=""10875dj"" data-start=""337"" data-end=""382"">User should be authenticated successfully</li><li data-section-id=""oym7jw"" data-start=""383"" data-end=""441"">Application should redirect user to homepage/dashboard</li><li data-section-id=""7zxrqq"" data-start=""442"" data-end=""491"">No access or authorization error should occur</li></ul>","","High","","Register","0","","Design","<ul><li data-section-id=""1ekbfuw"" data-start=""190"" data-end=""232"" data-pasted=""true"">Click Continue with Google button</li><li data-section-id=""1n6m5bs"" data-start=""233"" data-end=""261"">Select a Google account</li><li data-section-id=""2dm1wz"" data-start=""262"" data-end=""305"">Complete Google authentication process</li></ul>","","","","","","","Master","S6","Other","Ciler Uzal","5/11/2026 8:53 PM","1"
"C52","Successful User Registration with Valid Data","","Ciler Uzal","4/28/2026 10:21 AM","","<ul data-pasted=""true""><li data-section-id=""1yviiwx"" data-start=""467"" data-end=""514"" data-pasted=""true"">The user should be successfully registered.</li><li data-section-id=""1duu2je"" data-start=""515"" data-end=""563"">The system should create a new user account.</li></ul>","","High","","Register","0","","Design","<ul data-pasted=""true""><li data-section-id=""bj5kwn"" data-start=""219"" data-end=""273"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""tjl7ga"" data-start=""274"" data-end=""341"">Enter a valid and unique email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""342"" data-end=""396"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""397"" data-end=""435"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:14 AM","1"
"C54","Registration with Existing Email Address","","Ciler Uzal","4/28/2026 10:24 AM","","<ul data-start=""549"" data-end=""774"" data-pasted=""true""><li data-section-id=""nn8qv9"" data-start=""549"" data-end=""582"">The registration should fail.</li><li data-section-id=""z000ip"" data-start=""722"" data-end=""774"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ul><li data-section-id=""bj5kwn"" data-start=""298"" data-end=""352"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""oc5kqc"" data-start=""353"" data-end=""423"">Enter an already registered email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""424"" data-end=""478"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""479"" data-end=""517"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:14 AM","1"
"C55","Registration with Empty Username","","Ciler Uzal","4/28/2026 10:31 AM","","<ul><li data-section-id=""nn8qv9"" data-start=""444"" data-end=""477"" data-pasted=""true"">The registration should fail.</li><li data-section-id=""1wkt7ax"" data-start=""478"" data-end=""550"">The system should not allow account creation with an empty username.</li><li data-section-id=""1yrempw"" data-start=""551"" data-end=""658"">A validation error message should be displayed under the Username field (e.g., “Username is required”).</li><li data-section-id=""z000ip"" data-start=""659"" data-end=""711"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ol data-start=""221"" data-end=""412"" data-pasted=""true""><li data-section-id=""15zjy1j"" data-start=""221"" data-end=""261"">Leave the Username field empty.</li><li data-section-id=""1pqhtc2"" data-start=""262"" data-end=""318"">Enter a valid email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""319"" data-end=""373"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""374"" data-end=""412"">Click on the Register button.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:16 AM","1"
"C56","Username Minimum Length Validation","","Ciler Uzal","4/28/2026 10:32 AM","","<ul><li data-section-id=""1454wb3"" data-start=""479"" data-end=""564"" data-pasted=""true"">The system should validate the minimum length requirement for the Username field.</li><li data-section-id=""4izbkw"" data-start=""565"" data-end=""625"">If 1 character is not allowed, registration should fail.</li><li data-section-id=""h4m62w"" data-start=""626"" data-end=""726"">A validation error message should be displayed (e.g., “Username must be at least 2 characters”).</li><li data-section-id=""z000ip"" data-start=""727"" data-end=""779"">The user should remain on the Registration page.</li></ul>","","Medium","","Register","0","","Design","<ul><li data-section-id=""1teqyp0"" data-start=""236"" data-end=""296"" data-pasted=""true"">Enter a 1 character username in the Username field.</li><li data-section-id=""1pqhtc2"" data-start=""297"" data-end=""353"">Enter a valid email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""354"" data-end=""408"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""409"" data-end=""447"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 8:51 AM","1"
"C57","Username Maximum Length Validation","","Ciler Uzal","4/28/2026 10:32 AM","","<ul><li data-section-id=""19dpeyz"" data-start=""438"" data-end=""522"" data-pasted=""true"">The system should validate the maximum length constraint for the Username field.</li><li data-section-id=""1jbmuo1"" data-start=""523"" data-end=""594"">Registration should fail if the username exceeds the allowed limit.</li><li data-section-id=""16zdqkw"" data-start=""595"" data-end=""694"">A validation error message should be displayed (e.g., “Username must not exceed 32 characters”).</li><li data-section-id=""z000ip"" data-start=""695"" data-end=""747"">The user should remain on the Registration page.</li></ul>","","Medium","","Register","0","","Design","<ol data-start=""142"" data-end=""406"" data-pasted=""true""><li data-section-id=""k7uu81"" data-start=""142"" data-end=""255"">Enter a username that exceeds the maximum allowed character limit (32 character)</li><li data-section-id=""1pqhtc2"" data-start=""256"" data-end=""312"">Enter a valid email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""313"" data-end=""367"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""368"" data-end=""406"">Click on the Register button.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 8:54 AM","1"
"C76","Username Invalid Character Validation","","Ciler Uzal","4/30/2026 8:55 AM","","<ul><li data-section-id=""1a0oahr"" data-start=""437"" data-end=""515"" data-pasted=""true"">The system should validate the Username field for allowed character rules.</li><li data-section-id=""1o88obd"" data-start=""516"" data-end=""576"">Registration should fail if invalid characters are used.</li><li data-section-id=""1prpgr7"" data-start=""577"" data-end=""681"">A clear validation error message should be displayed (e.g., “Username contains invalid characters”).</li><li data-section-id=""z000ip"" data-start=""682"" data-end=""734"">The user should remain on the Registration page.</li></ul>","","Medium","","Register","0","","Design","<ol data-start=""145"" data-end=""405"" data-pasted=""true""><li data-section-id=""1yuqxfz"" data-start=""145"" data-end=""254"">Enter a username containing invalid characters</li><li data-section-id=""1pqhtc2"" data-start=""255"" data-end=""311"">Enter a valid email address in the Email field.</li><li data-section-id=""19e6pud"" data-start=""312"" data-end=""366"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""367"" data-end=""405"">Click on the Register button.</li></ol>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 8:56 AM","1"
"C77","Registration with Empty Email Field","","Ciler Uzal","4/30/2026 8:57 AM","","<ul><li data-section-id=""1nv8dne"" data-start=""361"" data-end=""430"" data-pasted=""true"">The system should prevent registration with an empty Email field.</li><li data-section-id=""ivpf9g"" data-start=""431"" data-end=""532"">A validation error message should be displayed under the Email field (e.g., “Email is required”).</li><li data-section-id=""z000ip"" data-start=""533"" data-end=""585"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ul><li data-section-id=""bj5kwn"" data-start=""143"" data-end=""197"" data-pasted=""true"">Enter a valid username in the Username field.</li><li data-section-id=""rcuxce"" data-start=""198"" data-end=""235"">Leave the Email field empty.</li><li data-section-id=""19e6pud"" data-start=""236"" data-end=""290"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""291"" data-end=""329"">Click on the Register button.</li></ul>","","","","","","","Master","S6","Functional","Ciler Uzal","4/30/2026 9:17 AM","1"
"C78","Invalid Email Format Validation","","Ciler Uzal","4/30/2026 8:58 AM","","<ul><li data-section-id=""1ubb74x"" data-start=""432"" data-end=""486"" data-pasted=""true"">The system should validate the Email field format.</li><li data-section-id=""qo4bal"" data-start=""487"" data-end=""544"">Registration should fail due to invalid email format.</li><li data-section-id=""sfl4fq"" data-start=""545"" data-end=""647"">A clear validation error message should be displayed (e.g., “Please enter a valid email address”).</li><li data-section-id=""z000ip"" data-start=""648"" data-end=""700"">The user should remain on the Registration page.</li></ul>","","High","","Register","0","","Design","<ol data-start=""139"" data-end=""400"" data-pasted=""true""><li data-section-id=""bj5kwn"" data-start=""139"" data-end=""193"">Enter a valid username in the Username field.</li><li data-section-id=""11bhneg"" data-start=""194"" data-end=""306"">Enter an invalid email format in the Email field (e.g., <code data-start=""257"" data-end=""268"">dmail.com</code>, <code data-start=""270"" data-end=""277"">user@</code>, <code data-start=""279"" data-end=""289"">user@com</code>, <code data-start=""291"" data-end=""302"">@mail.com</code>).</li><li data-section-id=""19e6pud"" data-start=""307"" data-end=""361"">Enter a valid password in the Password field.</li><li data-section-id=""1k8jbiw"" data-start=""362"" data-end=""400"">Click on the Register button.</li></ol>","","","","","","","Master","S6","Other","Ciler Uzal","4/30/2026 9:17 AM","1"
